h3_index,lat,lon,CSV_ADMI_CD,ADM_NM,GU_NM,delivery_demand_index,flow_pop_index,urgency,score_airspace,score_obstacle,score_noise,score_terrain,score_weather,composite_score,tall_bldg_count,total_bldg_count,avg_slope,terrain_zone,Hr,Fp,Cc,Od,Ds_v2,Ec,Od_v2,Ds_v3
8930e153013ffff,37.382330204152815,127.12605536970356,41135580,서현1동,분당구,0.9968130393916228,0.6447023797590359,0.855968775538588,0.0,0.3875,0.8440178265341103,1.0,0.8,0.0,7,98,,Unknown,0.3879914090951536,0.6379679208477442,0.9968130393916228,0.9968130393916228,0.7244552706667124,0.6063353609372737,0.898837387767631,0.6800467246742612
8930e024cafffff,37.350658456575616,127.0945785944842,41135662,금곡동,분당구,0.2716677734571954,0.3057914029293038,0.2853172252460388,1.0,1.0,1.0,1.0,0.8,0.8,0,0,,Unknown,0.3961154169390232,0.2918124336158817,0.2716677734571954,0.2716677734571954,0.3140382315414153,0.25752783048142525,0.40624280561737397,0.3241668825882624
8930e1c912fffff,37.42802870149976,127.06963669119068,41131640,고등동,수정구,0.0919400957440941,0.1242854967661393,0.1048782561529121,0.0,1.0,0.7223174494343502,1.0,0.8,0.0,0,162,,Unknown,0.168923335512186,0.1176946116277231,0.0919400957440941,0.0919400957440941,0.1214736966454289,0.15910017311052807,0.15616606553602946,0.13940271980491997
8930e15264bffff,37.41058121855873,127.12844224248204,41135620,야탑1동,분당구,0.5540292177394195,0.3964888625358763,0.4910130756580022,0.0,0.3,0.8628728145354816,1.0,0.8,0.0,18,98,,Unknown,0.2595947334018115,0.3922237079971283,0.5540292177394195,0.5540292177394195,0.4252474950025643,0.46486199300757924,0.5537564269818126,0.43018513114655016
8930e026a07ffff,37.358944368413525,127.07433363512008,41135665,구미1동,분당구,0.3151374004709809,0.2235613294144668,0.2785069720483753,1.0,1.0,0.9880013712718546,1.0,0.8,0.7904010970174837,0,7,,Unknown,0.2080493043234662,0.2212685070153227,0.3151374004709809,0.3151374004709809,0.2595437482628119,0.35778522681970787,0.27309876448469034,0.27181536761477243
8930e152167ffff,37.43007419291041,127.17731634731332,41133570,상대원1동,중원구,0.1464882246035055,0.317823978552547,0.2150225261831221,0.0,0.3875,0.7908810421666094,1.0,0.8,0.0,7,129,,Unknown,0.5088243533476515,0.2910084552227944,0.1464882246035055,0.1464882246035055,0.2913191208815715,0.9372439985935205,0.653576087790653,0.5001906371894749
8930e152543ffff,37.440769992636525,127.14935860718964,41133525,중앙동,중원구,0.0453211759139985,0.0955786315011052,0.0654241581488412,0.0,0.825,0.5022935779816513,1.0,0.8,0.0,2,436,,Unknown,0.240638715099449,0.0873911700377771,0.0453211759139985,0.0453211759139985,0.1144339362005783,0.01649838515388126,0.11204051876294989,0.10680790281043612
8930e1c8b43ffff,37.45296513244273,127.13202656262553,41131620,복정동,수정구,0.1169695747533441,0.1752065572430349,0.1402643677492204,0.0,0.65,0.9091532396297566,1.0,0.8,0.0,4,57,,Unknown,0.3983565225511252,0.1664261426881347,0.1169695747533441,0.1169695747533441,0.2137498010763761,0.20376448742136508,0.21293454071061316,0.22896135271694207
8930e1c9027ffff,37.423262530933854,127.05090718967962,41131640,고등동,수정구,0.0919400957440941,0.1242854967661393,0.1048782561529121,0.0,1.0,1.0,1.0,0.8,0.0,0,0,,Unknown,0.168923335512186,0.1176946116277231,0.0919400957440941,0.0919400957440941,0.1214736966454289,0.15910017311052807,0.15616606553602946,0.13940271980491997
8930e1c9ed3ffff,37.41847259159061,127.06621898157584,41131650,시흥동,수정구,0.1287571319758471,0.268369406110957,0.1846020416298911,0.0,1.0,1.0,1.0,0.8,0.0,0,0,,Unknown,0.0966476795218974,0.261308367454804,0.1287571319758471,0.1287571319758471,0.1522621051094014,0.3081515232711472,0.1828140587829023,0.19122743323826935
